name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
Hyundai Grand i10,Hyundai,2014,"3,25,000",28000,Petrol
Ford EcoSport Titanium,Ford,2014,"5,75,000",36000,Diesel
Ford Figo,Ford,2012,"1,75,000",41000,Diesel
Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel
Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol
Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol
Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol
Mahindra Scorpio SLE,Mahindra,2015,"3,20,000",48660,Diesel
Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
Audi A8,Audi,2017,"10,00,000",4000,Petrol
Audi Q7,Audi,2014,"5,00,000",16934,Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
Maruti Suzuki Alto,Maruti,2014,"1,60,000",35550,Petrol
Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,10,000",39522,Diesel
Maruti Suzuki Alto,Maruti,2015,"75,000",39000,Petrol
Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
Maruti Suzuki Alto,Maruti,2017,"1,90,000",72000,Petrol
Maruti Suzuki Vitara,Maruti,2016,"2,90,000",15975,Diesel
Maruti Suzuki Alto,Maruti,2008,"95,000",70000,Petrol
Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
Toyota Innova 2.0,Toyota,2012,"6,50,000",82000,Diesel
Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel
Skoda Yeti Ambition,Skoda,2012,"4,48,000",68000,Diesel
Maruti Suzuki Baleno,Maruti,2017,"5,49,000",32000,Diesel
Renault Duster 110,Renault,2012,"5,01,000",38000,Diesel
Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel
Honda City 1.5,Honda,2011,"2,80,000",33000,Petrol
Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
Maruti Suzuki Dzire,Maruti,2013,"3,49,999",46000,Diesel
Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
Honda Amaze 1.5,Honda,2015,"3,45,000",36000,Diesel
Honda City,Honda,2015,"4,99,999",55000,Petrol
Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol
Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol
Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel
Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
Mahindra Scorpio S10,Mahindra,2015,"3,95,000",35000,Diesel
Maruti Suzuki Swift,Maruti,2017,"2,20,000",30874,Petrol
Honda City ZX,Honda,2017,"1,70,000",15000,Diesel
Maruti Suzuki Wagon,Maruti,2013,"85,000",29685,Petrol
Ford Figo,Ford,2012,"1,75,000",41000,Diesel
Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel
